City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,12.63,61,38,1.42,CL,1707174746
1,howard springs,-12.497,131.047,31.04,93,56,3.27,AU,1707174746
2,sangin,32.0728,64.8359,6.77,32,0,2.4,AF,1707174746
3,callao,-12.0667,-77.15,28.16,61,0,5.14,PE,1707174747
4,kiunga,-6.1219,141.2906,25.61,94,99,1.09,PG,1707174484
5,whitehorse,60.7161,-135.0538,-10.86,95,100,1.14,CA,1707174605
6,port-aux-francais,-49.35,70.2167,6.06,79,98,12.45,TF,1707174748
7,kinablangan,7.6947,126.5503,25.24,81,100,1.35,PH,1707174749
8,belozersk,60.0326,37.7957,-17.23,100,99,1.79,RU,1707174749
9,nagqu,31.5,92.0,-8.76,18,97,7.18,CN,1707174750
10,tiksi,71.6872,128.8694,-32.37,96,52,1.39,RU,1707174750
11,bellary,15.15,76.9333,22.56,61,0,2.94,IN,1707174750
12,timimoun,29.2639,0.231,13.18,38,65,5.31,DZ,1707174750
13,recani,31.2846,-4.2688,10.79,33,99,2.75,MA,1707174751
14,ushuaia,-54.8,-68.3,10.81,54,0,7.2,AR,1707174751
15,talnakh,69.4865,88.3972,-24.35,89,86,2.3,RU,1707174751
16,grytviken,-54.2811,-36.5092,6.64,76,91,6.64,GS,1707174752
17,olonkinbyen,70.9221,-8.7187,-2.55,67,71,9.61,SJ,1707174752
18,stanley,54.868,-1.6985,10.77,80,75,7.2,GB,1707174743
19,santa elena de uairen,4.6167,-61.1333,22.78,72,100,0.85,VE,1707174752
20,edinburgh of the seven seas,-37.0676,-12.3116,15.74,63,1,1.89,SH,1707174753
21,thompson,55.7435,-97.8558,-1.26,98,100,2.07,CA,1707174753
22,maceio,-9.6658,-35.7353,27.69,89,40,3.09,BR,1707174753
23,lompoc,34.6391,-120.4579,15.99,62,40,4.63,US,1707174753
24,vorgashor,67.5833,63.95,-24.99,98,39,2.49,RU,1707174754
25,la passe,45.5549,-0.8967,6.13,80,100,1.97,FR,1707174754
26,pechora,65.1472,57.2244,-23.97,98,94,0.89,RU,1707174754
27,bilibino,68.0546,166.4372,-34.87,100,100,0.49,RU,1707174755
